n_detected,tp,fp,fn,recall,precision,f1,height_rmse,height_bias,recall_spruce,recall_pine,recall_birch,target_density,achieved_density,resolution_m,decimation_step,n_points
400,368,32,82,0.8177777777777778,0.92,0.8658823529411765,1.6326517056551322,-1.2048127990183624,0.9032258064516129,0.7747252747252747,0.7195121951219512,0.5,0.4851928909887175,1.0,13,79206
339,328,11,122,0.7288888888888889,0.967551622418879,0.8314321926489227,1.6798186889665199,-1.237627991118082,0.8548387096774194,0.6758241758241759,0.5609756097560976,0.5,0.4851928909887175,2.0,13,79206
366,355,11,95,0.7888888888888889,0.9699453551912568,0.8700980392156862,1.1379422534549002,-0.7552338314862318,0.8817204301075269,0.7472527472527473,0.6707317073170732,1.0,1.0518025776006332,1.0,6,171703
334,321,13,129,0.7133333333333334,0.9610778443113772,0.8188775510204082,1.1418642815045317,-0.7821201652455554,0.8440860215053764,0.6703296703296703,0.5121951219512195,1.0,1.0518025776006332,2.0,6,171703
361,356,5,94,0.7911111111111111,0.9861495844875346,0.8779284833538841,0.7646578729207486,-0.5017612192603981,0.8817204301075269,0.7417582417582418,0.6951219512195121,2.0,2.103623532327658,1.0,3,343409
337,332,5,118,0.7377777777777778,0.9851632047477745,0.8437102922490469,0.7807684117936818,-0.5197177991522365,0.8440860215053764,0.6758241758241759,0.6341463414634146,2.0,2.103623532327658,2.0,3,343409
362,352,10,98,0.7822222222222223,0.9723756906077348,0.8669950738916257,0.6043085963080388,-0.3694775386290118,0.8817204301075269,0.7307692307692307,0.6707317073170732,4.0,3.1561734464015463,1.0,2,515234
331,320,11,130,0.7111111111111111,0.9667673716012085,0.8194622279129322,0.6166709213918734,-0.3826233444213868,0.8440860215053764,0.6593406593406593,0.524390243902439,4.0,3.1561734464015463,2.0,2,515234
358,353,5,97,0.7844444444444445,0.9860335195530726,0.8737623762376238,0.43702871320011366,-0.23562480980546216,0.8817204301075269,0.7307692307692307,0.6829268292682927,6.338601680707767,6.311764950467361,1.0,1,1030373
329,323,6,127,0.7177777777777777,0.9817629179331308,0.8292682926829268,0.45165808677547853,-0.2511308649966592,0.8494623655913979,0.6373626373626373,0.5975609756097561,6.338601680707767,6.311764950467361,2.0,1,1030373
