x_tm35fin,y_tm35fin,ground_z,height_m,top_z,species
365520.908,6689520.000,77.48,30.00,107.48,pine
365417.040,6689699.610,69.10,36.00,105.10,spruce
365410.392,6689760.460,65.73,25.39,91.12,birch
365449.641,6689459.482,84.93,24.02,108.94,spruce
365328.591,6689546.591,84.21,30.00,114.21,pine
365270.245,6689555.826,78.98,25.11,104.09,pine
365594.883,6689552.130,76.55,30.00,106.55,pine
365221.439,6689583.197,78.00,27.66,105.66,spruce
365373.545,6689423.350,93.21,29.77,122.98,spruce
365360.306,6689625.606,72.92,28.00,100.92,birch
365534.619,6689488.946,74.97,31.85,106.81,spruce
365296.049,6689464.248,92.37,20.23,112.61,pine
365390.229,6689413.126,91.33,28.00,119.33,birch
365235.756,6689692.235,65.47,30.00,95.47,pine
365345.998,6689532.674,87.87,28.54,116.42,spruce
365487.316,6689430.005,81.69,30.00,111.69,pine
365503.527,6689608.638,81.76,30.00,111.76,pine
365418.339,6689465.207,87.47,31.42,118.89,spruce
365443.471,6689524.536,85.49,19.77,105.26,pine
365267.517,6689522.487,82.36,17.75,100.10,pine
365579.042,6689428.161,71.19,30.96,102.14,spruce
365505.517,6689515.800,78.25,31.00,109.25,spruce
365496.360,6689577.323,79.65,27.61,107.26,spruce
365517.231,6689435.539,78.14,28.83,106.97,pine
365483.401,6689767.796,77.22,27.03,104.25,spruce
365524.770,6689453.101,76.95,19.50,96.45,spruce
365210.767,6689647.719,73.60,18.90,92.50,pine
365226.166,6689517.023,79.84,20.50,100.35,spruce
365531.303,6689696.967,88.18,21.49,109.67,birch
365464.366,6689538.654,84.01,20.95,104.97,pine
365472.345,6689510.721,81.03,36.00,117.03,spruce
365203.520,6689725.215,72.00,19.07,91.07,birch
365289.072,6689641.482,67.26,30.33,97.58,spruce
365400.963,6689663.351,70.38,30.00,100.38,pine
365340.893,6689665.989,58.81,16.75,75.56,pine
365576.876,6689632.644,80.80,27.98,108.78,birch
365219.103,6689542.684,78.83,27.42,106.25,birch
365421.283,6689779.629,66.57,18.55,85.12,spruce
365436.684,6689693.416,73.88,30.00,103.88,pine
365548.643,6689792.684,89.75,24.37,114.12,pine
365213.850,6689733.620,68.48,26.43,94.90,pine
365582.083,6689665.605,82.42,25.93,108.35,spruce
365474.929,6689522.554,81.56,36.00,117.56,spruce
365474.782,6689466.925,81.70,30.00,111.70,pine
365580.783,6689443.115,70.38,26.01,96.39,pine
365232.168,6689766.446,67.14,30.00,97.14,pine
365423.321,6689643.904,77.81,36.00,113.81,spruce
365389.662,6689664.892,66.66,18.24,84.90,pine
365444.198,6689416.554,86.56,16.46,103.02,pine
365464.837,6689459.916,82.17,30.00,112.17,pine
365530.567,6689634.069,81.93,25.57,107.50,pine
365314.223,6689541.901,83.54,36.00,119.54,spruce
365225.692,6689478.548,80.49,36.00,116.49,spruce
365237.462,6689797.608,67.56,12.54,80.10,pine
365537.400,6689648.506,83.45,30.00,113.45,pine
365226.929,6689667.844,69.51,19.36,88.87,pine
365490.583,6689516.953,80.74,36.00,116.74,spruce
365526.469,6689590.044,78.88,28.00,106.88,birch
365567.946,6689415.953,71.02,28.26,99.29,spruce
365213.460,6689782.923,72.31,28.67,100.98,spruce
365249.300,6689458.001,84.09,28.00,112.09,birch
365499.527,6689542.000,79.23,28.00,107.23,birch
365419.947,6689415.751,87.33,35.76,123.09,spruce
365262.564,6689622.912,73.32,30.00,103.32,pine
365257.522,6689507.621,81.15,25.85,107.00,birch
365543.744,6689590.628,79.05,28.93,107.97,pine
365466.196,6689557.160,82.30,22.81,105.11,spruce
365319.196,6689490.156,93.03,22.86,115.89,spruce
365359.872,6689755.241,57.06,36.00,93.06,spruce
365397.102,6689424.594,91.18,24.29,115.47,pine
365539.750,6689702.185,87.45,36.00,123.45,spruce
